Country,HDI rank,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,Human Development Group,region,sub-region,GINI coefficient,Internet users (per 100 people),"Labor force, female (% of total labor force)",Military expenditure (% of GDP),Pop growth (annual %),Pop density (people per sq. km of land area),Pop ages 0-14 (% of total),Pop ages 15-64 (% of total),Pop ages 65+ (% of total),"Pop, total",Refugee population by country or territory of asylum,Refugee population by country or territory of origin,Rural population (% of total pop),"Unemployment, total (% of total labor force)","Fertility rate, total (births per woman)"
Russian Federation,50,0.798,70.1,14.7,12,22352,High,Europe,Eastern Europe,,70.52,48.77960567,4.170244425,0.217632655,8.781871566,16.35050783,70.41813349,13.23135868,143819569,235750,70562,26.076,5.099999905,1.7
Oman,52,0.793,76.8,13.6,8,34858,High,Asia,Western Asia,,70.22,13.41129702,13.38853066,8.08855916,13.68677544,21.10939489,76.35924162,2.531363483,4236057,151,29,22.822,7.199999809,2.774
Romania,52,0.793,74.7,14.2,10.8,18108,High,Europe,Eastern Europe,27.3,54.08,44.99555716,1.350286124,-0.374575498,86.5494892,15.5775874,67.49470296,16.92770964,19908979,2182,1918,45.607,7,1.41
Uruguay,52,0.793,77.2,15.5,8.5,19283,High,Americas,South America,45.3,61.46,44.54016977,1.488205607,0.338250791,19.53785853,21.61358508,64.05350933,14.33290559,3419516,272,124,4.848,7,2.02
Bahamas,55,0.79,75.4,12.6,10.9,21336,High,Americas,Caribbean,,,,,,,,,,,,,,,
Kazakhstan,56,0.788,69.4,15,11.4,20867,High,Asia,Central Asia,28.9,54.89,49.32244171,1.014112866,1.479722304,6.404127866,26.1308487,67.13711979,6.732031513,17289224,633,2224,46.71,4.099999905,2.74
Barbados,57,0.785,75.6,15.4,10.5,12488,High,Americas,Caribbean,,76.67,48.89969073,,0.309958314,659.0232558,19.43821018,66.80252664,13.75926318,283380,1,86,68.446,12,1.794
Antigua and Barbuda,58,0.783,76.1,14,9.2,20070,High,Americas,Caribbean,,64,,,1.011701141,206.5909091,24.55445545,68.330033,7.115511551,90900,0,53,75.81,,2.075
Bulgaria,59,0.782,74.2,14.4,10.6,15596,High,Europe,Eastern Europe,35.4,55.49,46.61002392,1.473467738,-0.568389264,66.54327561,13.97872442,66.29216526,19.72911032,7223938,11046,1648,26.374,11.60000038,1.48
Palau,60,0.78,72.7,13.7,12.3,13496,High,Oceania,Micronesia,,,,,0.847301337,45.86304348,,,,21097,1,1,13.548,,
Panama,60,0.78,77.6,13.3,9.3,18192,High,Americas,Central America,51.9,44.92,37.61108598,0,1.612187734,52.02495292,27.47602801,65.08054872,7.443423266,3867535,2271,89,33.708,4.300000191,2.444
Malaysia,62,0.779,74.7,12.7,10,22762,High,Asia,South-Eastern Asia,46.2,67.5,36.08039292,1.454933218,1.470952411,91.01201339,25.37093928,68.95516047,5.673573436,29901997,99086,468,25.99,2,1.944
Mauritius,63,0.777,74.4,15.6,8.5,17470,High,Africa,Eastern Africa,35.9,41.44,37.99324667,0.260622584,0.181061469,621.1497537,19.84112782,71.02494389,9.133928283,1260934,0,94,60.186,7.699999809,1.43
Seychelles,64,0.772,73.1,13.4,9.4,23300,High,Africa,Eastern Africa,,54.26,,2.421000386,1.654753698,200.8791209,23.24550423,69.92427087,6.830224893,91400,,25,46.441,,2.3
Trinidad and Tobago,64,0.772,70.4,12.3,10.9,26090,High,Americas,Caribbean,,65.1,42.2916515,0.675733049,0.461979352,264.0317739,20.78268978,70.05351857,9.163791646,1354483,83,371,91.45,4,1.778
Serbia,66,0.771,74.9,14.4,10.5,12190,High,Europe,Southern Europe,38.7,53.5,43.79727367,2.065939697,-0.469489291,81.5295678,16.4803271,66.89410496,16.62556794,7130576,43751,45733,44.545,22.20000076,1.43
Cuba,67,0.769,79.4,13.8,11.5,7301,High,Americas,Caribbean,,30,38.36474892,,0.146040659,106.8973029,16.55729521,69.82825811,13.61444668,11379111,280,7502,23.03,3.299999952,1.615
Lebanon,67,0.769,79.3,13.8,7.9,16509,High,Asia,Western Asia,,74.7,24.54466694,4.963960282,5.967518248,548.5919844,24.0565557,67.81049362,8.132950684,5612096,1606709,4273,12.33,6.400000095,1.714
Costa Rica,69,0.766,79.4,13.9,8.4,13413,High,Americas,Central America,50.3,49.41,37.2713434,0,1.081430428,93.17677242,22.69830667,68.70127539,8.600417941,4757606,12924,417,24.085,8.300000191,1.819
Iran,69,0.766,75.4,15.1,8.2,15440,High,Asia,Southern Asia,44.5,,,,,,,,,,,,,,
Venezuela,71,0.762,74.2,14.2,8.9,16159,High,Americas,South America,39,,,,,,,,,,,,,,
Turkey,72,0.761,75.3,14.5,7.6,18677,High,Asia,Western Asia,40.2,51.04,30.54999171,2.224674663,1.691319352,100.7286462,25.94494222,66.66676943,7.388288354,77523788,1587374,63892,27.109,9.199999809,2.07
Sri Lanka,73,0.757,74.9,13.7,10.8,9779,High,Asia,Southern Asia,49,25.8,33.53236963,2.526683307,0.928664473,331.2230904,24.79070872,66.30425805,8.905033229,20771000,511,122010,81.68,4.599999905,2.083
Mexico,74,0.756,76.8,13.1,8.5,16056,High,Americas,Central America,48.3,44.39,37.16218343,0.667520245,1.321217635,64.50054425,28.06427741,65.62724036,6.308482235,125385833,1837,10666,21.029,4.900000095,2.243
Brazil,75,0.755,74.5,15.2,7.7,15175,High,Americas,South America,51.9,57.6,43.7742807,1.351679441,0.886360083,24.65595192,23.52705092,68.89762288,7.5753262,206077898,7490,977,14.567,6.800000191,1.79
Georgia,76,0.754,74.9,13.8,12.1,7164,High,Asia,Western Asia,46,48.9,46.35755223,2.517582317,-1.306162779,65.20522062,17.21231474,68.67150428,14.11618098,3727000,442,6681,46.532,13.39999962,1.816
Saint Kitts and Nevis,77,0.752,73.8,12.9,8.4,20805,High,Americas,Caribbean,,,,,,,,,,,,,,,
Azerbaijan,78,0.751,70.8,11.9,11.2,16428,High,Asia,Western Asia,33.7,61,48.63023784,4.55781667,1.248208997,115.3543958,22.0364351,72.40124618,5.56231872,9535079,1299,10515,45.645,5.199999809,2
Grenada,79,0.75,73.4,15.8,8.6,10939,High,Americas,Caribbean,,37.38,,,0.421200052,312.7911765,26.57664858,66.27424799,7.149103424,106349,0,324,64.42,,2.149
Jordan,80,0.748,74,13.5,9.9,11365,High,Asia,Western Asia,39.7,44,18.3731965,4.326355015,2.751211309,83.533262,35.84885714,60.37641434,3.774728519,7416083,2771502,1718,16.553,11.10000038,3.422
Macedonia,81,0.747,75.4,13.4,9.3,11780,High,Europe,Southern Europe,43.6,,,,,,,,,,,,,,
Ukraine,81,0.747,71,15.1,11.3,8178,High,Europe,Eastern Europe,24.6,43.4,49.01180105,3.060071691,-0.278913805,78.30370089,14.59818774,70.12419778,15.27761448,45362900,3219,237625,30.518,7.699999809,1.498
Algeria,83,0.736,74.8,14,7.6,13054,High,Africa,Northern Africa,35.3,18.09,17.37615649,5.556059831,1.940399184,16.34701269,28.20590947,65.99064466,5.803445874,38934334,94128,3524,29.871,9.5,2.857
Peru,84,0.734,74.6,13.1,9,11015,High,Americas,South America,45.3,40.2,45.25819586,1.443792028,1.32499896,24.19777188,28.1772166,65.1464843,6.676299096,30973148,1303,4343,21.715,4.199999809,2.455
Albania,85,0.733,77.8,11.8,9.3,9943,High,Europe,Southern Europe,29,60.1,41.26650967,1.341473951,-0.103552395,105.6078102,18.9304268,69.00732124,12.06225196,2893654,104,10158,43.591,16.10000038,1.784
Armenia,85,0.733,74.7,12.3,10.9,8124,High,Asia,Western Asia,30.3,46.3,46.17784561,3.931550782,0.465529171,105.5902353,18.66368124,70.75672105,10.57959772,3006154,3190,11848,37.188,17.10000038,1.531
Bosnia and Herzegovina,85,0.733,76.5,13.6,8.3,9638,High,Europe,Southern Europe,36.2,60.8,38.04320446,1.027868809,-0.156496091,74.56160156,13.64656531,71.38277546,14.97065922,3817554,6890,21888,60.384,27.89999962,1.263
Ecuador,88,0.732,75.9,14.2,7.6,10605,High,Americas,South America,48.5,43,40.38553531,2.895754162,1.530902125,64.03171203,29.33769505,64.12401977,6.53828518,15902916,53817,804,36.484,4.599999905,2.542
Saint Lucia,89,0.729,75.1,12.6,9.3,9765,High,Americas,Caribbean,,,,,,,,,,,,,,,
China,90,0.727,75.8,13.1,7.5,12547,High,Asia,Eastern Asia,46.9,49.3,43.8665324,1.928801683,0.506311592,145.317356,17.20482569,73.61249346,9.182680848,1364270000,301052,210802,45.59,4.699999809,1.562
Fiji,90,0.727,70,15.7,9.9,7493,High,Oceania,Melanesia,,41.8,33.68062657,0.955220391,0.674955886,48.51943076,28.79440465,65.56647301,5.639122342,886450,13,924,46.646,7.900000095,2.564
Mongolia,90,0.727,69.4,14.6,9.3,10729,High,Asia,Eastern Asia,36.5,27,45.81206788,0.859628081,1.757597837,1.873034192,27.8994842,68.11765882,3.982856972,2909871,6,2163,28.778,4.800000191,2.655
Thailand,93,0.726,74.4,13.5,7.3,13323,High,Asia,South-Eastern Asia,48.4,34.89,45.50739394,1.417140831,0.406217867,132.5646989,17.96949292,71.94662922,10.08387786,67725979,75137,233,50.826,0.899999976,1.512
Dominica,94,0.724,77.8,12.7,7.9,9994,High,Americas,Caribbean,,62.86,,,0.465548899,96.45466667,,,,72341,0,38,30.744,,
Libya,94,0.724,71.6,14,7.3,14911,High,Africa,Northern Africa,,17.76,28.36473531,7.993696275,-0.111824622,3.557170624,29.67026278,65.86963635,4.460100873,6258984,27964,4203,21.641,19.20000076,2.467
Tunisia,96,0.721,74.8,14.6,6.8,10404,High,Africa,Northern Africa,40,46.16,26.98547192,1.936373985,1.00626446,70.78141092,23.29794359,69.21514294,7.486913478,10996600,901,1485,33.355,13.30000019,2.2
Colombia,97,0.72,74,13.5,7.3,12040,High,Americas,South America,53.5,52.57,42.59535291,3.130404248,0.944004218,43.07471203,24.70150431,68.53824495,6.760250742,47791393,213,360298,23.839,10.10000038,1.897
