Country,HDI rank,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,Human Development Group,region,sub-region,GINI coefficient,Internet users (per 100 people),"Labor force, female (% of total labor force)",Military expenditure (% of GDP),Pop growth (annual %),Pop density (people per sq. km of land area),Pop ages 0-14 (% of total),Pop ages 15-64 (% of total),Pop ages 65+ (% of total),"Pop, total",Refugee population by country or territory of asylum,Refugee population by country or territory of origin,Rural population (% of total pop),"Unemployment, total (% of total labor force)","Fertility rate, total (births per woman)"
Myanmar,148,0.536,65.9,8.6,4.1,4608,Low,Asia,South-Eastern Asia,,2.1,49.42132503,3.688628145,0.85196116,81.8232973,28.05739542,66.70083453,5.241770057,53437159,0,479006,66.449,3.299999952,2.204
Angola,149,0.532,52.3,11.4,4.7,6822,Low,Africa,Middle Africa,,21.26,46.20455385,5.400287266,3.269552406,19.43332317,47.85031685,49.84108983,2.308593317,24227524,15474,9484,56.726,6.800000191,6.08
Swaziland,150,0.531,49,11.3,7.1,5542,Low,Africa,Southern Africa,50.4,27.1,39.10984683,1.843583165,1.466122343,73.7855814,37.59203285,58.87266057,3.535306577,1269112,515,161,78.685,22.29999924,3.266
Tanzania (United Republic of),151,0.521,65,9.2,5.1,2411,Low,,,,,,,,,,,,,,,,,
Nigeria,152,0.514,52.8,9,5.9,5341,Low,Africa,Western Africa,43.7,42.68,42.3995695,0.414718775,2.660487333,194.8636714,44.0711793,53.178905,2.749915698,177475986,1239,90947,53.058,7.5,5.65
Cameroon,153,0.512,55.5,10.4,6,2803,Low,Africa,Middle Africa,44.6,11,45.701982,1.252788882,2.498110306,48.17544372,42.76027758,54.02119807,3.218524346,22773014,226489,10766,46.181,4.300000191,4.704
Madagascar,154,0.51,65.1,10.3,6,1328,Low,Africa,Eastern Africa,47.5,3.7,49.38386075,0.632787766,2.783869737,40.51514782,42.04102604,55.1392298,2.819744157,23571713,11,281,65.532,3.599999905,4.409
Zimbabwe,155,0.509,57.5,10.9,7.3,1615,Low,Africa,Eastern Africa,50.1,19.89,49.45681208,2.592817276,2.307451177,39.41024945,41.58379441,55.41503576,3.001169826,15245855,6079,22492,67.499,5.400000095,3.923
Mauritania,156,0.506,63.1,8.5,3.8,3560,Low,Africa,Western Africa,39,10.7,26.75701867,2.670719117,2.472382509,3.851387407,40.25831155,56.5479107,3.19377775,3969625,49635,34113,40.745,31,4.603
Solomon Islands,156,0.506,67.9,9.2,5,1540,Low,Oceania,Melanesia,,9,40.14387542,,2.027864725,20.44197928,39.81292306,56.80399741,3.383079534,572171,3,70,78.124,3.900000095,3.966
Papua New Guinea,158,0.505,62.6,9.9,4,2463,Low,Oceania,Melanesia,50.9,9.38,48.25570306,0.663818758,2.094693178,16.48098088,37.5392121,59.49762426,2.963163641,7463577,4929,288,87.015,2.5,3.757
Comoros,159,0.503,63.3,11.5,4.6,1456,Low,Africa,Eastern Africa,,6.98,30.65293893,,2.404550925,413.751209,40.47761597,56.73274103,2.789642996,769991,0,581,71.807,6.5,4.49
Yemen,160,0.498,63.8,9.2,2.6,3519,Low,Asia,Western Asia,37.9,,,,,,,,,,,,,,
Lesotho,161,0.497,49.8,11.1,5.9,3306,Low,Africa,Southern Africa,63.2,11,45.64654096,2.186457145,1.24688598,69.47289196,36.31841881,59.5095195,4.17206169,2109197,44,17,73.211,26.20000076,3.185
Togo,162,0.484,59.7,12.2,4.5,1228,Low,Africa,Western Africa,,5.7,50.92729524,1.853415232,2.6553193,130.8174848,42.42705332,54.81528673,2.757659944,7115163,21778,9276,60.531,6.900000095,4.584
Haiti,163,0.483,62.8,8.7,4.9,1669,Low,Americas,Caribbean,60.8,11.4,47.46542595,0,1.340572727,383.6004717,34.15526953,61.26531624,4.579414226,10572029,3,37162,42.564,6.800000191,3.033
Rwanda,163,0.483,64.2,10.3,3.7,1458,Low,Africa,Eastern Africa,46.8,10.6,53.95067379,1.149323448,2.35027091,459.7301986,41.41701518,55.8362424,2.746742419,11341544,73820,79408,72.159,0.600000024,3.898
Uganda,163,0.483,58.5,9.8,5.4,1613,Low,Africa,Eastern Africa,39.5,17.71,49.32090924,1.235579046,3.25376537,188.4249501,48.32583706,49.17555319,2.498609757,37782971,385513,7191,84.234,3.799999952,5.775
Benin,166,0.48,59.6,11.1,3.3,1767,Low,Africa,Western Africa,36.5,5.3,47.00814744,0.971146128,2.641076758,93.99150408,42.46976124,54.64078724,2.889451527,10598482,415,340,56.486,1,4.766
Sudan,167,0.479,63.5,7,3.1,3809,Low,Africa,Northern Africa,,24.64,29.40862802,,2.145269562,21.57468771,40.85480574,55.85417016,3.291024098,39350274,244430,665967,66.377,14.80000019,4.353
Djibouti,168,0.47,62,6.4,3.8,3276,Low,Africa,Eastern Africa,40.9,10.71,34.88965978,,1.335093432,37.79870578,33.00337604,62.88613905,4.110484904,876174,20530,879,22.738,,3.195
South Sudan,169,0.467,55.7,7.6,5.4,2332,Low,Africa,Eastern Africa,46,15.9,,9.77473213,3.915536494,,42.4084625,54.13602879,3.455508705,11911184,248152,616211,81.409,,5.022
Senegal,170,0.466,66.5,7.9,2.5,2188,Low,Africa,Western Africa,40.3,17.7,44.97072022,1.532127242,3.125624981,76.20919857,43.79492954,53.24557267,2.959497789,14672557,14274,23118,56.607,10,5.09
Afghanistan,171,0.465,60.4,9.3,3.2,1885,Low,Asia,Southern Asia,,6.39,16.0514395,1.334356678,3.033472553,48.44454554,44.87099615,52.69431931,2.434684543,31627506,280267,2596270,73.718,9.100000381,4.843
Cote d'Ivoire,172,0.462,51.5,8.9,4.3,3171,Low,Africa,Western Africa,41.5,14.6,37.96400763,1.521768107,2.44243261,69.67643711,42.72496856,54.24016773,3.034863712,22157107,1925,71966,46.521,4,5.001
Malawi,173,0.445,62.8,10.8,4.3,747,Low,Africa,Eastern Africa,39,5.83,51.36578267,0.891434486,3.072287728,177.0815974,45.36089989,51.22394971,3.415150402,16695253,5874,361,83.898,7.5,5.129
Ethiopia,174,0.442,64.1,8.5,2.4,1428,Low,Africa,Eastern Africa,33,2.9,47.31171135,0.730052323,2.50680866,96.958732,42.07094519,54.47567631,3.453378495,96958732,659524,86870,80.972,5.199999809,4.395
Gambia,175,0.441,60.2,8.8,2.8,1507,Low,Africa,Western Africa,,,,,,,,,,,,,,,
Congo (Democratic Republic of the),176,0.433,58.7,9.8,6,680,Low,Africa,Middle Africa,,,,,,,,,,,,,,,
Liberia,177,0.43,60.9,9.5,4.1,805,Low,Africa,Western Africa,,5.41,47.40859318,0.714580229,2.367408337,45.64528654,42.61173637,54.3678299,3.020433731,4396554,38587,13572,50.692,3.799999952,4.719
Guinea-Bissau,178,0.42,55.2,9,2.8,1362,Low,Africa,Western Africa,,3.32,47.09788004,1.936036301,2.438527521,64.02962304,40.97837672,55.87390927,3.147714013,1800513,8684,1307,51.45,6.900000095,4.835
Mali,179,0.419,58,8.4,2,1583,Low,Africa,Western Africa,40.1,7,38.49601898,1.515933832,2.933420467,14.00275531,47.5390878,49.90333034,2.557581864,17086022,15195,139267,60.857,8.100000381,6.229
Mozambique,180,0.416,55.1,9.3,3.2,1123,Low,Africa,Eastern Africa,45.6,5.94,53.12773934,1.025335269,2.790970183,34.60957298,45.51468026,51.14738328,3.337936461,27216276,4536,58,68.066,22.60000038,5.359
Sierra Leone,181,0.413,50.9,8.6,3.1,1780,Low,Africa,Western Africa,34,2.1,49.5109149,0.975108385,2.189341169,87.49829593,42.65826655,54.66719298,2.674540469,6315627,1372,4993,60.422,3.299999952,4.626
Guinea,182,0.411,58.8,8.7,2.4,1096,Low,Africa,Western Africa,39.4,1.72,45.70594928,3.846153846,2.698294373,49.95737832,42.74124443,54.19685037,3.061905204,12275527,8766,15252,63.32,1.799999952,5.013
Burkina Faso,183,0.402,58.7,7.8,1.4,1591,Low,Africa,Western Africa,39.5,9.4,47.32322335,1.626986597,2.911018317,64.28800439,45.79381618,51.79533484,2.410848977,17589198,31894,1857,70.976,3.099999905,5.521
Burundi,184,0.4,56.7,10.1,2.7,758,Low,Africa,Eastern Africa,42.4,1.38,51.48853205,2.009842197,3.297803748,421.2172897,44.64215123,52.8890177,2.468831066,10816860,52936,72493,88.239,6.900000095,5.948
Chad,185,0.392,51.6,7.4,1.9,2085,Low,Africa,Middle Africa,43.3,2.5,44.95821386,2.818392656,3.301595089,10.79022633,47.98398152,49.55380685,2.462211636,13587053,452897,48258,77.659,7,6.156
Eritrea,186,0.391,63.7,4.1,3.9,1130,Low,Africa,Eastern Africa,,0.99,,,,,,,,,2898,363092,,7.199999809,4.284
Central African Republic,187,0.35,50.7,7.2,4.2,581,Low,Africa,Middle Africa,61.3,4.03,47.09557465,,1.968283386,7.711830235,39.38829169,56.74312431,3.868583998,4804316,7694,412041,60.241,7.400000095,4.286
Niger,188,0.348,61.4,5.4,1.5,908,Low,Africa,Western Africa,34,1.95,31.16591749,,4.029436517,15.08938817,50.4087638,47.01835246,2.572883741,19113728,77830,739,81.531,5.099999905,7.599
